Mint,|H0:item:33773:1:36:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Potato,|H0:item:33758:1:15:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Poultry,|H0:item:34321:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Pumpkin,|H0:item:34305:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Radish,|H0:item:34307:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Red Meat,|H0:item:33752:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Rice,|H0:item:29030:1:27:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Rose,|H0:item:28636:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Rye,|H0:item:28639:1:31:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Saltrice,|H0:item:27063:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Seasoning,|H0:item:27058:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Seaweed,|H0:item:28666:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Small Game,|H0:item:33756:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Surilie Grapes,|H0:item:34345:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Tomato,|H0:item:28603:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Wheat,|H0:item:34348:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
White Meat,|H0:item:33754:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Yeast,|H0:item:33774:1:32:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Yerba Mate,|H0:item:34335:1:30:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Amber Malt,|H0:item:40261:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Baker's Flour,|H0:item:27003:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Barley Mash,|H0:item:40273:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Broth,|H0:item:26987:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Brown Malt,|H0:item:40260:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Cake Flour,|H0:item:27002:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Camaralot Grapes,|H0:item:40268:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Canis Root,|H0:item:27053:1:41:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
OId Caramalt,|H0:item:40262:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Cooking Fat,|H0:item:26974:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Corn Mash,|H0:item:40270:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Drippings,|H0:item:26966:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Emperor Grapes,|H0:item:45523:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Fatback,|H0:item:26977:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Glace Viande,|H0:item:26990:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Imperial Mash*,|H0:item:45524:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Grasa Grapes,|H0:item:40266:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Imperial Flour,|H0:item:27004:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Golden Malt*,|H0:item:45522:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Imperial Stock,|H0:item:26998:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Jazbay Grapes,|H0:item:27051:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Jus,|H0:item:26989:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Lado Grapes,|H0:item:40267:1:25:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Lard,|H0:item:26976:1:45:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Meal,|H0:item:26999:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Milled Flour,|H0:item:27000:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Mutton Flank,|H0:item:40276:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Oat Mash,|H0:item:40272:1:36:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Pepper,|H0:item:26962:1:40:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Pinguis,|H0:item:26978:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Plump Maggots,|H0:item:28608:1:46:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Plump Rodent Toes,|H0:item:28607:1:19:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Plump Worms,|H0:item:28606:1:46:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Pork,|H0:item:34304:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Ribier Grapes,|H0:item:40269:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Rice Mash,|H0:item:40274:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
OId Ripe Apple,|H0:item:34331:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old River Grapes,|H0:item:28638:1:27:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Saaz Hops,|H0:item:27044:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Saltrice,|H0:item:34312:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Scuttle Meat,|H0:item:28605:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Shank,|H0:item:34322:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Shornhelm Grains,|H0:item:33767:1:11:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Sifted Flour,|H0:item:27001:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Snake Slime,|H0:item:28632:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Snake Venom,|H0:item:28634:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Spring Essence,|H0:item:34336:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Stock,|H0:item:26988:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Suet,|H0:item:26975:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Sujamma Berries,|H0:item:28637:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Sweetmeats,|H0:item:34306:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Tangerine,|H0:item:33769:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Thin Broth,|H0:item:26986:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Venison,|H0:item:33757:1:46:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Wasp Squeezings,|H0:item:33770:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Wheat Malt,|H0:item:40263:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Wheat Mash,|H0:item:40271:1:18:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old White Malt,|H0:item:40264:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Wild Honey,|H0:item:28635:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Wine Grapes,|H0:item:40265:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Old Wisp Floss,|H0:item:34332:1:47:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
